id	height
1	173.31
2	172.62
3	176.73
4	178.89
5	173.11
6	178.46
7	173.34
8	178.68
9	179.84
10	175.95
11	181.79
12	180.57
13	186.54
14	171.74
15	171.4
16	175.78
17	183.29
18	175.8
19	175.51
20	172.2
21	182.76
22	177.11
23	172.53
24	169.97
25	171.74
26	175.99
27	173.56
28	175.67
29	177.2
30	171.36
31	171.74
32	174.5
33	168.76
34	183.44
35	178.34
36	177.71
37	171.38
38	170.57
39	173.68
40	188.46
41	173.69
42	182.19
43	164.01
44	174.89
45	175.41
46	184.47
47	175.96
48	173.6
49	177.01
50	177.49
51	187.76
52	181.95
53	186.34
54	178.9
55	176.16
56	170.49
57	175.96
58	173.58
59	168.56
60	183.68
61	186.71
62	177.57
63	176.79
64	172.72
65	180.31
66	184.35
67	173.7
68	182.16
69	164.67
70	179.44
71	179.78
72	172.41
73	182.59
74	173.32
75	178.92
76	176.34
77	179.17
78	179.58
79	180.16
80	173.24
81	179.28
82	178.63
83	174.96
84	179.44
85	176.65
86	177.86
87	171.88
88	186.85
89	172.24
90	167.96
91	177.06
92	175.08
93	188.74
94	163.7
95	179.19
96	175.88
97	176.3
98	176.57
99	173.3
100	183.53
