,0,1,2,3
0,고색점,경기도 수원시 권선구 매송고색로 691번길 6(고색동),경기도,031-292-8777
1,수성점,"대구광역시 수성구 수성로53길 20, 1층",대구광역시,053-768-5222
2,민락수변공원점,"부산광역시 수영구 광안해변로326번길 32, 1층 102호 (민락동, e편한세상오션테라스3단지)",부산광역시,051-753-9282
3,상일점,서울특별시 강동구 천호대로 219번길 74,서울특별시,02-441-7077
4,석수점,경기도 안양시 만안구 석천로 168,경기도,031-471-2959
5,운정3호점,경기 파주시 가람로 51번길 26-30,경기도,031-941-9282
6,교문점,경기 구리시 이문안로 9-1,경기도,031-566-9812
7,밀양무안점,경상남도 밀양시 무안면 사명로 503,경상남도,055-353-9929
8,밀양구기점,경상남도 밀양시 청도면 청도로 111,경상남도,055-352-9994
9,송현점,대구광역시 달서구 송현로 103,대구광역시,053-631-2338
10,세천점,대구광역시 달성군 다사읍 세천로10길 15-7,대구광역시,053-584-9995
11,하양점,"경상북도 경산시 하양읍 문화로 12,2층",경상북도,053-851-7599
12,광명1호점,경기도 광명시 오리로 1023,경기도,02-2688-7272
13,십정점,인천광역시 부평구 배곶로 77,인천광역시,032-422-7548
14,범어신도시점,"경상남도 양산시 물금읍 범구1길 21, 2층 201호",경상남도,055-386-7717
15,흑석점,서울특별시 동작구 현충로52,서울특별시,02-824-9001
16,호구포역점,인천광역시 남동구 논현로 40,인천광역시,032-429-9288
17,서석점,강원도 홍천군 서석면 구룡령로 2532,강원도,033-433-4437
18,삼산본동점,울산광역시 남구 남중로 76 (삼산동),울산광역시,052-227-9246
19,하계점,"서울시 노원구 공릉로58길 176, 상가동 101호(하계동, 우방아파트)",서울특별시,02-948-4500
20,구의광장점,"서울시 광진구 광나루로 545, 상강 제A동 1층 2호",서울특별시,02-444-9238
21,제기점,서울시 동대문구 고산자로 56길 20,서울특별시,02-960-7270
22,중화점,서울시 중랑구 봉화산로 102,서울특별시,02-437-9599
23,독립문점,서울시 종로구 사직로 11,서울특별시,02-730-2690
24,광운대점,서울시 성북구 장위로 49길 1-1(장위동),서울특별시,02-913-1292
25,녹번점,서울시 은평구 통일로 649(녹번동),서울특별시,02-356-7174
26,양곡점,경기도 김포시 양촌읍 양곡2로30번길 7-23,경기도,031-8049-7122
27,고덕1호점,경기도 평택시 고덕면 고덕여염 11길 114,경기도,031-665-9285
28,삼양점,서울특별시 강북구 삼양로54길 7,서울특별시,02-986-6337
29,동서변점,대구광역시 북구 환성정길7,대구광역시,053-285-4005
30,화진점,경상북도 포항시 북구 송라면 동해대로3218번길 35,경상북도,054-256-8383
31,울릉도점,경상북도 울릉군 울릉읍 울릉순환로 212-21,경상북도,054-791-6569
32,하단가락타운점,"부산광역시 사하구 동매로 35, 1층(하단동)",부산광역시,051-206-6108
33,산본역점,경기도 군포시 산본동 1142-6,경기도,031-391-5055
34,상남점,경상남도 창원시 성산구 상남로 107 메종드테라스,경상남도,055-262-0426
35,미조점,경상남도 남해군 미조면 미조로236번길 25,경상남도,055-867-1280
36,칠암점,경상남도 진주시 진주대로856번길 5,경상남도,055-758-0119
37,중앙여좌점,경상남도 창원시 진해구 중원로 10,경상남도,055-543-2474
38,진주혁신도시점,경상남도 진주시 충의로 20-16,경상남도,055-763-4868
39,나주점,전라남도 나주시 나주천2길 72,전라남도,061-332-9281
40,모라점,부산광역시 사상구 백양대로 906,부산광역시,051-312-9279
41,동남지구점,충청북도 청주시 상당구 중고개로 104 309동,충청북도,043-291-7773
42,하단가락타운점,부산광역시 사하구 동매로 35,부산광역시,051-206-6108
43,치평점,광주광역시 서구 상무대로 739,광주광역시,062-385-9282
44,상주점,경상남도 남해군 상주면 남해대로 696,경상남도,055-863-4743
45,관산내유점,경기 고양시 덕양구 동헌로 3번길 3,경기도,031-964-9989
46,구월아시아드점,인천광역시 남동구 구월동 1542-2,인천광역시,032-471-9282
47,동천점,경기도 용인시 수지구 수풍로 117번길 2-6,경기도,031-261-4777
48,가락점,서울 송파구 가락동 82-6,서울특별시,02-407-5050
49,도화점,인천광역시 미추홀구 숙골로 116,인천광역시,032-872-8892
50,위례역점,경기도 성남시 수정구 위례광장로 27,경기도,031-756-6888
51,매곡.삼각점,광주 북구 매곡로 63(매곡동),광주광역시,062-573-9282
52,염주점,광주 서구 염화로40번길 201-1,광주광역시,062-225-9282
53,장락점,충북 제천시 용두천로 28가길 1 1층(장락동),충청북도,043-645-0666
54,서판교점,경기 성남시 분당구 운중로 129,경기도,070-4242-5566
55,송파장지점,서울 송파구 새말로6길 24-33,서울특별시,02-407-6699
56,서귀포신시가지점,"제주도 서귀포시 서호중로 47, 지하1층",제주특별자치도,064-739-9279
57,오목교점,서울특별시 양천구 목동서로 291 1층 106-1호(신정동),서울특별시,02-2645-9982
58,팽성점,경기도 평택시 팽성읍 안정순환로 142,경기도,031-651-9939
59,위례중앙점,서울 송파구 장지동 896,서울특별시,02-400-7288
60,성남점,"울산광역시 중구 중앙길 118, 1층 (성남동)",울산광역시,052-245-7245
61,호평점,"경기 남양주시 늘을2로 96, 호평마을대주파크빌 상가 109호",경기도,031-591-9285
62,남면점,경상북도 김천시 천동길 303-5,경상북도,054-439-8809
63,죽도점,경상북도 포항시 북구 대해로 15,경상북도,054-281-5001
64,금장현곡점,경상북도 경주시 현곡면 금장5길 34-15,경상북도,054-772-9909
65,관음점,대구광역시 북구 칠곡중앙대로 429,대구광역시,053-314-7811
66,이곡신당점,대구광역시 달서구 선원로37길 20,대구광역시,053-582-9282
67,동성로점,대구광역시 중구 국채보상로123길 23,대구광역시,053-428-5010
68,유강점,경상북도 포항시 남구 연일읍 유강길 17,경상북도,054-277-5995
69,봉덕점,대구광역시 남구 봉덕로21길 53-3,대구광역시,053-471-8249
70,노원점,"대구광역시 북구 침산남로7길 50-21,상가동 103호",대구광역시,053-356-6161
71,동탄새강마을점,경기도 화성시 반송동 155-6,경기도,031-8003-9995
72,평택용이점,경기도 평택시 용이동 452-20,경기도,031-655-8919
73,구영점,울산광역시 울주군 범서읍 798-1 102호,울산광역시,052-212-9211
74,미사강변점,경기도 하남시 망월동 976-3,경기도,031-796-9997
75,오송점,충북 청주시 흥덕구 오송읍 만수리 546,충청북도,043-235-8292
76,외도하귀점,"제주 제주시 우령서로 16, 1층",제주특별자치도,064-744-3404
77,주촌신도시점,경상남도 김해시 주촌면 선천남로 13,경상남도,055-329-9990
78,봉월점,"울산광역시 남구 봉월로 8번길 43-1 , 1층(신정동)",울산광역시,052-269-6009
79,킨텍스점,경기 고양시 일산서구 킨텍스로 217-21,경기도,031-917-9249
80,연수2점,인천광역시 연수구 샘말로 87번길 7-6,인천광역시,032-811-6062
81,선학점,인천광역시 연수구 학나래로 118번길 40,인천광역시,032-813-3392
82,성복역점,경기도 용인시 수지구 성복2로 51 A동,경기도,031-889-9815
83,우동자이점,"부산광역시 해운대구 해운대로 469번길 110,601동",부산광역시,051-746-7955
84,곤지암점,경기 광주시 곤지암읍 평촌길 35-11,경기도,031-763-7856
85,강상점,경기도 양평군 강상면 강남로 913번길 1,경기도,031-771-3199
86,중산점,경기도 고양시 일산동구 탄중로 311-16,경기도,031-915-0813
87,중산점,"경기도 고양시 일산동구 탄중로 311-16, 101호",경기도,031-915-0813
88,장곡점,경기도 시흥시 장곡로 49번길 5-1.1층 101호(장곡동),경기도,031-506-0232
89,주촌신도시점,"경상남도 김해시 주촌면 선천남로 13, 2층",경상남도,055-329-9990
90,기산점,경기도 화성시 동탄지성로 410,경기도,031-239-4885
91,탄방점,"대전광역시 서구 남선로 59번길 21, 1층",대전광역시,042-486-9289
92,제천본점,충북 제천시 강제동 818번지 1층,충청북도,043-648-0555
93,중동1호점,"부산광역시 해운대구 좌동순환로 468번 가길 20, 1층(중동)",부산광역시,051-746-7978
94,구례점,"전남 구례군 구례읍 중앙로 154,(1층)",전라남도,061-783-9282
95,감전점,"부산광역시 사상구 새벽시장로103번길 24,1층(감전동)",부산광역시,051-326-8316
96,대연혁신점,"부산광역시 남구 수영로325번길 61,301동 B107호 (대연동, 대연 롯데캐슬)",부산광역시,051-626-8114~5
97,연세대점,강원도 원주시 흥업면 매남동길 3-2 1층,강원도,033-763-0562
